text,label
"سلام خانم کلباسی عزیز ، با تشکر فراوان از زحمات شما ، یه خواهشی دارم از شما ، من شنیدم که مردم قصر شیرین هنوز زیر چادر هستند ، میشه لطفا یه سرکشی به این منطقه داشته باشید ممنون
",1
"جوونامون دارن خودکشی میکنن و به خودکشی فکر میکنن بزودی هراخوندی توخیابون ببینیم تیکه تیکش می‌کنیم
",0
"عزیزم ، مهربانو روز زن رو باید مخصوص بشما تبریک گفت شیرزنی که از تمام مسئولین ودولت مردامون شجاع‌تر و مهربون‌تر ودلسوزتره که عمرشو ووقتشو وزندگیشو گذاشته برای مردم کرمانشاه عزیزم ازت ممنونم وصمیمانه بهت تبریک میگم امیدوارم طول عمری با سلامتی وسعادت وموفقیت داشته باشی
",1
"کص ننت
",0
"تو عشقی نرگس جانم
",1
"کص ننت
",0
"نرگس بانوی عزیز در پناه خداوند باشی خیلی عزیزی
",1
"اینکه به همین راحتی میگی طورب نیس جنگ بشه بالاخره یسریا کشته میشنپسره خودتم میفرستی جنگ که کشته بشه
",0
"تو فرشته‌ای نرگس جونم خدا قوت اصلا به این اراجیف توجه نکن اجرت با خدا
",1
"شاشیدم دهن پدرت
",0
"عزیزان دل سلامنمایشگاهی در رابطه با بچه‌های اوتیسماز پانزدهم تا بیستم دی ماهدر گالری سروشواقع در مشهدخیابان فلسطین پلاک برگزار می‌گردد افتتاحیهشنبه پانزدهم دی ماه ساعت این نمایشگاهبه منظور آشنایی و شناخت بچه‌های اوتیسم برگزار میگردداوتیسم یک بیماری نیستپس درمان نداردیک تفاوت استتفاوت در نوع نگرش به دنیااز همراهی تان صمیمانه سپاسگزاریم
",1
"چرا شماها نمیمیرید
",0
"خیلی عالیست درود بر هنرمند عزیز »»»»
",1
"دارین مملکت رو خراب میکنید هیچ لطفا اینقدر نخند خنده هات به شعورمون توهین میکنه
",0
"سربلند و سلامت باشید بانو که اینجوری دل این فرشته‌های کوچولو رو شاد میکنید
",1
"ایشون توهم دارن و ملت رو هم احمق فرض کردن
",0
"خداخیرت بده
",1
"ایشون اخیرا فرمودن من دو میلیون شغل ایجاد کردم وقتی فردی توهم داره ، نمیتونه بزنه به چاک چون از نظر خودش خیلی کارش درسته
",0
"عزیزم چقد خوشحالهه مرسیی نرگس جونن
",1
"ایشون اخیرا فرمودن من دو میلیون شغل ایجاد کردم وقتی فردی توهم داره ، نمیتونه بزنه به چاک چون از نظر خودش خیلی کارش درسته
",0
"انشالله زودی خوب بشن نرگس جان شما یک فرشته‌ای عزیزم در روی زمین امیدوارم همیشه پرانرژی و سالم باشی
",1
"دست دزدها رو قطع کنن اینا اسم دزدها رو مخفف میگن چه توقعی باید ازشون داشته باشیم
",0
"بسیار عالی
",1
"داداچ شغل ازادت چیه راهنمایی کن شریک نمیخای
",0
"تو که زن نیستی فرشته ای
",1
"روت میشه اصن بگی عزت
",0
"نرگس جونم من سوالی ندارم ، فقط اومدم بگم خسته نباشی عزیزم ، با دیدن تو و اراده پولادینت به زن بودنم افتخار میکنم
",1
"ایشالا بزودی نوبت شماست آقای اسکاتلندی
",0
"از جنابعالی به عنوان فعال اجتماعی ، تقاضا دارم در کنار تمام فعالیت‌های خود به وضعیت برخی کودکان ایرانی مبتلا به بیماری نادر اس‌ام ای با هزینه درمان هفتصد و پنجاه هزار دلار رسیدگی کنید متاسفانه دولت ایران هیچ‌گونه حمایتی به این بیماران نمیکند و همچنین دارو به ایران وارد نمیشود خانواده این کودکان نیازمند نیستند هزینه درمان برای اکثریت جامعه دست یافتنی نیست با سپاس
",1
"لعنتتتت لعنت ب نسل پیرو جوون ما در سال
",0
"عشق منی فرشته‌ی زمینی مرسی که با مردم شهرم هستی
",1
"بی‌شعور
",0
"کلمات در برابر مهربانی شما حقیر هستند ، امیدوارم سیاره‌ی زمین ، برای شما کم نباشه عمری جاویدان برای شما آرزو می‌کنم
",1
"لعنت بر طرفداران روحانی
",0
"عالی‌بود لایک داره
",1
"یکی نیست به این بگه حرف نزنی بهت نمیگن لالی ، یه چند روز اون دهنت را نجونبون تا این قیمت‌ها افزایش پیدا نکنه
",0
"چشمهایی روشن و زیبا صبح زیبای چشمانت بخیر کودک سرزمین من
",1
"آقای روحانی تو رو جون بچت فکر این سکه‌ها باش ما‌ها باید چطوری مهریه بدیم یکم فکر باش
",0
"عالی بوددقیقا همینطوره عزیزم باید از مدل نرگس الگوبرداری بشه تا بازخورد کارآمد خودشو تو مواقع اضطراری نشون بده
",1
"من جوان امیدی ندارم
",0
"من در زندگی در محل‌های خطرناک نیز‌بودم ولی با خواندن مطالب شما می‌فهمم که شجاعت شما ستودنی است ضمن اینکه قلب رئوفی نیز دارید آفرین به این همه عشق به انسانها
",1
"بر این عهد که با جاسوسان و خائنین به مملکت بستید بمانید و به آتش آن‌ها بسوزید‌ان شائالله
",0
"چه عکسی دوتا فرشته
",1
"کیروش باید بماند
",0
"فرشته
",1
"قرارداد کیروش را تمدید کنید
",0
"دختر ، زودتر راه می‌رود زودتر به تکلم می‌افتد زودتر به سن تکلیف می‌رسد اصلا انگار از همان اول ، عجله داردانگار هیچ وقت برای خودش وقت نداردحتی بازی‌هایش ، رنگ و بوی جان بخشیدن داردچنان معصومانه عروسکش را در آغوش می‌فشارد ؛ گویی سال هاست طعم شیرین مادری را چشیده است دختر بودن یعنی همیشه عجله داشتن برای رساندن محبت به دستان دیگراندختر که باشی مهربانی‌ات دست خودت نیستخوب می‌شوی حتی با آنان که چندان با تو خوب نبوده انددل رحم می‌شوی ؛ حتی در مقابل آنهایی که چندان رحمی به تو ندشته انددختر که باشی زود می‌رنجی ، زود می‌بخشی ، زود می‌گریی ، زود می‌خندیچون سرشار از احساسی تو مامور احساس ، روی زمین هستی بی‌تو و بازیگوشی‌هایت جهان می‌میرد دختر جان
",1
"قرارداد کیروش را تا تمدید کنید
",0
"نرگس عزیز من از سیرجان براتون کامنت میزارم خیلی دوست دارم شما رو از نزدیک ببینم و ازتون انرژی بگیرم اگه خدا یاری کنه در اولین فرصت بدیدنتون میام
",1
"بی‌معنی بود
",0
"خدایا ممنونم بخاطر آفریدن دخترمهربونی مثل نرگس
",1
"جمع کنید تو را خدا این مملکت زوار در رفته رو و برید
",0
"عزیزم چه نازه خدا ازت راضی باشه
",1
"‌ای کسانی که انقلاب کردین ، لطفا به سوالات زیر پاسخ دهید تفاوت « حضرت والا » و « حضرت آقا » را توضیح دهید دو کلمه « مقام عظمای ولایت » و « شاهنشاه آریا مهر » را تعریف کنید معنی عبارت‌های « جانم فدای رهبر » و « جان نثار » را به‌طور خلاصه شرح دهید دو کلمهئ « بیت » و « کاخ » چه تفاوت‌هایی دارند تفاوت دو گروه « عاشق ولایت » و « فدوی » را در چند سطر توضیح دهید « بنیاد پهلوی » و « بنیاد علوی » چه تفاوتی دارند جمله « ‌سلطنت عطیه‌ای است الهی‌ » چه رابطه‌ای با عبارت « مقام عظمای ولایت جانشین امام زمان » دارد تفاوت « رای ملوکانه » با « حکم حکومتی » کدام است فرق « شاهرود » با « امامرود » را بیان کنید « بندر امام » با « بندر شاه » چه تفاوتی دارد ( هر سوال نمره )
",0
"واقعا تو یه فرشته‌ای از همونا که تو قصه هان ندیدم کسی مثل تورو تنت سالم و دلت خوش بانو
",1
"شنپه ه : کلیمی ه واسه سمتی همه دع میکنن یکشنپه ه : مسیحی برای همه اذسذه آرزوی شدی میکنن دوشنپه ه : زرتشتی ه برای همگن آرزوی عشق و ذیکی میکنن پنجشنپه ه : بودای ه برای صلح جهذی دع میکنن جمه ه : ایراذی ه میرن ذمز جمه واسه ذصف دذی آرزوی مرگ میکنن ، بعد میخوره تو سر خودمون و هر روز فقیرتر و بدبخت‌تر میشیم التماس تفکر برای بسیجیان برای مذهبیون افراطی برای حمایت‌کنندگان خامنه ای‌ها و
",0
"نرگس عزیز
",1
"مرررردم ازگشنگی دارن میمیرررررن میفهمین یکم حیاااا کنید لطفا اگه نمیتونی کاری کنی برووووو لطفا
",0
"عاشقتم بهت افتخار میکنم
",1
"معلومه خوب پولدار که اینجوری از این لاشی طرفداری میکنی
",0
"مهربونم
",1
"کاش تو بجاش می‌مردی
",0
"عاشقتیم
",1
"هر کدوم میان آنچنان بلایی سر مردم میارن که آدم میگه صد رحمت به بابای کفن دزده
",0
"مام عاشق توییم بهترین
",1
"داداش من جای شما‌بودم صبح رود ازین خراب‌شده‌خارج میشدم
",0
"عزیزدلم
",1
"مردم از بین بد و بدتر مجبور شدن این رو انتخاب کنند رئیسی میشد بدتر از بدتر میشد کلا ریشه مشکل داره
",0
"عالی‌بود نرگس جان ممنونیم از تو بخاطر همه چی
",1
"فقط یه کی تونست اونم جمهوری اسلامی ایران این کارها کرد و بیشتر هم میکنه
",0
"آخی عزیزم مرسی که بره جواب دادن به ما هم وقت میزاری همه چیز پیداست آخه چه سوالی میتونیم داشته باشیم جز اینکه سلامتی از استرس دوری آرامش‌داری مراقب خودت باش که یه ایران بهت وابسته هست عزیز دلم ؛ خداوند پشت و پناهت
",1
"کاش به جای اون بازیگر تو مرده بودی
",0
"تو فرشته‌ای نرگس جان
",1
"شما فکنم فقد انتظامی رو میشناختین
",0
"نرگس فرشته مهربان
",1
"مرسی ک تسلیت گفتی همه مشکلات حل شد دلار تومن شد همه حقوقای معوقه پرداخت شد دوباره پوشک بچه‌ها اومد تو بازار پراید دوبارهتومن شد همه چیز دوباره برگشت سرجاش شما وظیفتون تسلیت گفتن نیست وظیفتون سامان دادن ب اوضاع مملکتتونه چرا دارین الکی همه مردمو میپیچونین دارین ب شعور یه کشور توهین میکنین اقای روحانی اگه همین مردم متحد بشن تهران میره رو هوا این مردم نباشن شمام هیچی نیستی چجوری بدبختی مردمو میبینو لبخند رو لبات میاد خجالت داره واقعا
",0
"قیافشو ببین عزیزززم
",1
"درست کن مملکت رو
",0
"‌ای جانم ، من خارج از کشورم ولی هر اتفاقی واسه هموطنام بیوفته واقعا ناراحت میشم ، ولی نرگس عزیز من شما رو که میبینم ک چکارهایی میکنین واقعا انرژی میگیرم ( چون خودم بیمارم ) و هرچه در توانم باشه بی‌منت در اختیارت میذارم
",1
"رئیس جمهور شما به غیر از بدبختی برای ما چیزی نیوردی حال یه خواهش دارم از فقط طرح خرید خدمت لغوش نکن من شوهرم با هزار بدبختی داره زندگی میچرخونه قراره وام بگیره که بتونه خدمت بخره از شما بعنوان یک هم وطن تقاضا دارم این طرح لغوش نکنید با زندگی ما و امسال ما بازی نکنید
",0
"زیباست
",1
"فعلا که عهد تو با جیب ددی جون بسته‌شده‌راسی به اول مهر سلام کن عمو ببینه
",0
"ماهم ازخداممنونیم بخاطرافرینش یکی اززیباترین ومهربانترین انسانهای دنیابنام خانم نرگس کلباسی که باعث افتخارهمه ماست
",1
"تا مس تو هستن نمیفهمن امسال اینا چه گندی زدن
",0
"نرگس زیبا با وجود تو میشه فهمید هنوزم انسانیت زنده س
",1
"خیلی مظلوم کفش هفت میلیونی میپوشه آره هه
",0
"نرگس عزیز در پناه خدا شاد باشی عزیزم‌
",1
"آره خیلی خوبه شما چی مصرف میکنی بگو ماهم بزنیم باهم بریم مرحله بعدی
",0
"عشقی
",1
"جمهوری اسلامی بزرگترین دشمن ایران و ایرانیست و ملا خطرناک‌ترین نوع بشر
",0
"خیلی زیبا
",1
"وقتی قدر دکتر احمدی نژاد روندونستیم حقمون نباید باشه این روزگار
",0
"مگه میشه انسان لبخند زیبای یه مادر رو ببینه و تمام دردهاش فراموش نشه ممنون بابت ارامشی که با این تصویر بهم دادی سپاس بی‌کران
",1
"ایشون هیچ سندی روبرعلیه منافع ملت امضا نکردن
",0
"نرگس مهربونم موفق باشی
",1
"چه دزدی
",0
"عالی
",1
"چه اختلاسی
",0
"عزیزم چند وقت پیش یکی از ریجاب اومدجلومسجدمحله ما توشهرسنندح واسه گدایی واز اونجایی که میشناسمش واقعامحتاج‌بود گفت خونه شون آوارشده شوهرنداره تنها زندگی میکنه حقوقم نداره اگه میتونی کمکش کنید خونه ش درست شه میگفت زندگی توچادر تو فصل گرما سخته حداقل خونه م درست شه برم تو خونه
",1
"بذار علمی برات بگم یکی ازروش‌های ترور شخصیتی کلی گوییه من این حرف روبارها شنیدم منشا این حرف‌ها اتاق فکر سیاسی شیاطینه مواظب آدرس غلط باشیم
",0
"درود بر تو بانو خدا خیرت بده
",1
"گیرخدمتمم
",0
"عزیزم چقدر خوشگله
",1
"مشکل خدمت دارم
",0
"تو خوده عشقی
",1
"آی اونایی که ناراحتین این استفا بده خیالتان راحت این استفا داده
",0
"باریکلا چه قلب و روح مهربون و انسانی‌ای دارید زنده باشین خانوم کلباسی
",1
"خداهمتونو باهم ورداره ببره استعفا بدین بی‌کفایتا
",0
"خوندم خوبم منظورتوفهمیدم این بچه هااگه شیک بپوشن وبهشون برسن کاملا معلوم میشه زیباییشون این عکسو ببین مرتب وتمیز اینازلزله زده وفقیرن درهرصورت چیزی که واضح هست وهمه میدونن زیبایی خاص وطبیعی کوردهاس فقط بعضی هاتحمل ندارن ببینن
",1
"یزید بنده خدا نفر رو کشت تو میلیون نفر رو‌داری میکشی تو پست‌تری یا یزید
",0
"همیشه فک میکردم فرشته‌ها تو آسمون هستن ، ولی تو فرشته‌ی روی زمینی نرگس بانو
",1
"چراغا رو خاموش کنین ، میخوام دلتونو بسوزونم ، میخوام ببرمتون به سال و قیمتاش ، زار بزنید غریبی نکنید : پژو پراید سکه امام تومنصفحه کلاچ پراید تومنبرنج کیسه ده کیلویی تومنهیوندا سانتافه تومنمرغ تومن
",0
"سپاس بی‌کران ، امیدوارم همیشه سالم و سلامت در پناه مهربانی خداوند باشید
",1
"از بیکاری زیاد نشسته به این و اون تسلیت میگه ،
",0
"عالی بود
",1
"ننگ بر ماهان
",0
"بس که شما گل و مهربان و بزرگواری
",1
"آدم میمونه از دست کاراتون بخنده یا گریه کنه به کارای خودتون نمیرسید بعد میرید روضه میخونید وسط جلسه تسلیت میگیدمیزارید سوشاها و امثالشم به ریش ما بخندن کشوری ساختید ک عمرااااااا توش آینده داشته باشیم فقط هم شعار
",0
"سربلند و سلامت باشید بانو که اینجوری دل این فرشته‌های کوچولو رو شاد میکنید
",1
"میشه بپرسم ارتفاع ساختمون خونتون چند متره ک مردمو نمیبینید یا بگید از چ زاویه‌ای به کشور نگاه میکنید که انقدر امیدوارید تنهاامیدم اینه بورسیه‌ای چیزی بشم حداقل یه مدت خلاص شم از اینجا
",0
"خدای من این یک فرشته به تمام معناست
",1
"وااای چقدر بدبخت شدیم ، اخرش چی میخواد بشه
",0
"عزیزم
",1
"سوال من و خیلی از هموطنان لطفا پاسخگو باشید اگر شما در کشوری دیگر که نیازمند نفت و منابع دیگر کشور‌ها هستند و یک دهم ایران جاذبه گردشگری ندارند به چنین مقامی دست پیدا میکردید ( کشور‌های بسیار پیشرفته‌تر ) با توجه به شعار‌ها و تکنوکرات‌گرایی لفظی شما چه اینده‌ای برای خود و کشور مذبور تصور میکردید ایا هنوز از مدیریت شایسته خود میگفتید نه به نالایقی از گذشته باشکوه تا اینده مبهم شعار تا واقعیت نه به دولت سیاسی بدون تخصص تدبیر
",0
"واقعا خدا بهشون هرچی میخواد بده هم نرگس خانوم هم آقای خیابانی دایی گلزار تمام ایرانی‌های عزیز که حتی در حد یه دعا کمک کردن خدا پشتو پناهشون
",1
"به جهنم ک مرد مرد ک مرد ؛ ابدی ک نیست ؛ اگه اسمت مرد هست برو ب قشر اسیب‌پذیر ک زنده هستن برس اینکه مرد و رفت زیر خروار خاک
",0
"دستتون درد نکنه ، چقدر هم زیباست ، از خونه ما قشنگتره
",1
"فرمودی جیره خور چرا
",0
"درود و سپاس از این همه مهربانی و خدا‌ قوت دست گلت درد نکنه پاینده وسبز باشید
",1
"جیره خور نظام نباشه اینجوری کامنت نمیزاره
",0
"سلامت باشی فرشته‌ای شما
",1
"باشه شما خوبی (: خدافظ
",0
"نرگس تو فوق العاده هستی تو عشقی
",1
"نه فقط شوما خوبی
",0
"تو فرشته‌ای عزیزم
",1
"روحانی خسته شدیم آماده تظاهرات هستیم نذار لیوان لبریز بشه که بر نمیگرده بابا ستمه تو اوج جوونی احساس پیری کنی نه سوریه ت لبنان نه غیره اول ایران مراقب ک ب خانه رواست به مسجد حرام
",0
"عاشقتم نرگس جان
",1
"بسه دیگه خسته شدیم اگه نمیتونید ریاست کنید برای چی کاندید میشید و هزار جور وعده وعید میدید ریدن رو که بچه دو ساله هم بلده
",0
"نرگس جان روز مهندس رو باید به شما تبریک بگیم شما که پلی از تاریکی ب روشنی برای مردم زلزله زده کرمانشاه ساختید پایدار باشی عزیز مهربونم
",1
"بترسید از ستم ، در حق کسانی که جز خدا فریادرس دیگری ندارند امام حسین ( ع )
",0
"عزیزم ممنون از راهنماییت
",1
"کلاسور سیمی خریدم هزار تومنآقای روحانی تک تک سیمای این کلاسور تو کون اعضای کابینت
",0
"دوستت داریم فرشته زیبا و مهربان
",1
"داش حسن از خر شیطون بیا پایین مذاکره تنها راهه وگرنه با این تورم شما رکورد‌دار تورم و نامتان به بدی خواهد ماند از ما گفتن
",0
"پس فرشته‌ها این شکلی هستن
",1
"اولین کسی که به آیندم امیدوار نیستم فقط شبا میخوابم با خودم میگم شاید فردا مردی و خودمو آماده مردن کردم سن :
",0
"سلام بر یاران سبز درختان ، حافظه‌ی زمین هستند درخت‌ها با خود خاطراتی دارند که بین « خودشان ، زمین و کسانی که آن‌ها را کاشته‌اند » تا همیشه باقی خواهد ماند ما در جشن هر نفر یک درخت خاطرات خود را به حافظه‌ی زمین می‌سپاریم زمین و طبیعت هیچ وقت ، هیچ چیز را فراموش نخواهند کرد سال بعد ، روزی می‌آید که رهگذری خسته ، در زیر سایه‌ی درختی که ما در اسفند ماه کاشته‌ایم ، نان و پنیری خواهد خورد و طعم « عشق و محبتی » را می‌چشد که بین « ما و درخت و زمین » مشترک‌بود آنروز دنیا پر از سایه و درخت و عشق است و انسانها همه به زبانی مشترک عاشق می‌شوند برای خلق آنروز ، از همین حالا می‌توانید کارهای زیر را انجام دهید دنیای ما همانگونه خواهد شد که می‌خواهیم : پنج هزار تومان اهدا کنید این تصویر و متن را در صفحه‌تان به اشتراک بگذارید پنج نفر از دوستان‌تان را در زیر این پست تگ کنیدهر چند ساعت یک بار ، در بخش استوری اینستاگرام مبلغ واریز‌شده‌و تعداد افراد اهدا‌کننده را اعلام خواهم کرد دوستتون دارم هر نفر یک درخت ‌ ‌بانک صادرات ایران‌شماره کارت : ‌شماره حساب : ‌شبا : ‌
",1
"آقای رییس‌جمهور حال جوونای مملکت خوب نیس
",0
"عزیزم ما از تو بابت تمام زحمات شبانه روزی‌ات تشکر می‌کنیم دست خدا بهمراهت
",1
"فکری کنید ما رای میدیم مملکت اداره بشه ، اگه قرار باشه هرکی به پست شما میرسه بگه مشکا تحریم هاست پس واسچی رای بدیم
",0
"خدا قوت خانم نرگس عزیز
",1
"رئیس جمهور یه خواهش دارم ازت فقط طرح خرید خدمت لغوش نکن من شوهرم با هزار بدبختی داره زندگی میچرخونه قراره وام بگیره که بتونه خدمت بخره از شما بعنوان یک هم وطن تقاضا دارم این طرح لغوش نکنید با زندگی ما و امسال ما بازی نکنید
",0
"دروووود بر تو فرشته زمینی
",1
"تاهست جهان شورمحرم باقیستاین جلوه جان درهمه عالم باقی استازناله نینوای یاران حسینهمواره به لب زمزمه غم باقیست حب الحسین یجمعنا بندرانزلی
",0
"عشقی عز
",1
"سلام میکنم خدمت جناب آقای دکتر حسن روحانی اینجانب یکی از طرفداران شما در زمان انتخابات‌بودم ولی نمیدونم چرا بعد از انتخابات اوضاع گرانی دلار باعث شد تمام برنامه‌ها تغییر کند به خدا آقای دکتر من یک جوان هستم که هیچ شغلی ندارم دارای مدرک تحصیلی لیسانس هستم ولی واقعا اوضاع اقتصادی کشور اصلا خوب نیست دلار تا مرز پانزده هزار تومان رفته قیمت مرغ تا مرز ده هزار تومان رفته قیمت تمام لوازم‌های خانگی و مسکن و خودرو و خوراک و پوشاک که وحشتناک رفته بالا خانواده من هر سال تاسوعا و عاشورا نذری می‌دادند ولی امسال به خاطر گرانی نتونستند نذری بدند من با این شرایط حتی تا آخر عمرمم نمیتونم ازدواج کنم به خدا شرایط زندگی برای خیلی از مردم فوق العاده سخت‌شده‌من خیلی‌ها رو تو مناطق پائین شهر میشناسم که الان نزدیک به چند ماه هست که حتی نمیتونند چند کیلو گوشت بخرند چرا آخه یک دلار امریکا باید برابر باشد با پانزده هزار تومان پول کشور ما اونم کشوری مثل ایران که کلی سرمایه داره چرا باید یک یوان چین برابر باشد با حدود دوهزار تومان ما چرا اصلا باید ارزش پول ما حتی از کشور جنگ زده‌ای مثل افغانستان هم بی‌ارزش‌تر باشد چرا باید در مهرماه سال گذشته قیمت دلار حدود سه هزار تومان باشه ولی مهرماه امسال باید قیمت دلار پانزده هزار تومان باشه من از شما عاجزانه خواهش میکنم که حتما برای گرانی دلار یک تصمیم ویژه بگیرید اصلا اوضاع کسب و کار خوب نیست همه ناراضی هستند با نهایت تشکر از شما در پناه خدا باشید
",0
"و چقدر قلب شما زیباست
",1
"سلام دوستان افرادی که میان این کامنت و میخونن چه پولدار چه ضعیف ازتون میخوام در باره حمایت از یک حرف که خیلی ازش خوشم اومد اونو تبدیل به یک کمپین کرده و گسترشش بدیم و با گذاشتن یک پست درباره‌ی یکی از مشکلاتمون که ماشالا کمم نیست این روزا ونوشتن من دشمن رئییس جمهورم و زیر پست‌های مختلف به جنگ با این مفت خور بپردازیم مطمئن باشین متحد بودن خیلی نتیجه جالب‌تری داره تو این روزا که مارو علاق فرض کردن و دستشون رو تا آرنج کردن تو جیب ما و همین طور از این که بیای زیر پستای ایشون فوش ناموسی بزاری صورت اعتراضی بهتری داره اگه یک درصد احتیاجی نمیبینی با این مفت خورا بجنگی به فکر هم وطنایی باش که دارن له میشن و حداقل نیاز‌های انسان براشون آرزوست
",0
"احسنت کاش یک کم مسئولین از شما یاد میگرفتن مهمترین چیزی که به این آدما دادید انگیزه وامید به زندگی‌بود خدا پشت وپناهتون باشه
",1
"استخراج بیت کوینبه راحتی با دوستان خود به درآمد میلیونی برسید بدون هیچ سرمایه گذاریبدون هیچ سخت افزاریفقط با یه کامپیوتر
",0
"عزیز پسرگل الهی عاقبت بخیر شی وهرگز ناملایمات زندگی رو به این سختی تجربه نکنی نرگس گل خدا حفظت کنه
",1
